Title,Network,Season,Meta Score,# of critics,User score,Genre,Genre 2,Permise Date
Sense8,Netflix,: Season 1,,91,8,Drama,Science Fiction,"June 5, 2015"
Power,Starz,: Season 2,,80,8.4,Drama,,"June 6, 2015"
Orange is the New Black,Netflix,: Season 3,,91,7.5,Comedy,Drama,"June 12, 2015"
The Making of the Mob: New York,AMC,: Season 1,59,75,7.3,Drama,Movie/Mini-Series,"June 15, 2015"
Tyrant,FX,: Season 2,,83,7.7,Drama,Action & Adventure,"June 16, 2015"
Ballers (2015),HBO,: Season 1,,91,7.3,Comedy,Drama,"June 21, 2015"
The Brink,HBO,: Season 1,52,80,7.7,Comedy,Drama,"June 21, 2015"
True Detective,HBO,: Season 2,,91,6.4,Drama,Action & Adventure,"June 21, 2015"
Masters of Sex,SHOWTIME,: Season 3,,91,6.2,Drama,,"July 12, 2015"
Ray Donovan,SHOWTIME,: Season 3,,90,7.3,Drama,Action & Adventure,"July 12, 2015"
BoJack Horseman,Netflix,: Season 2,,91,8.9,Comedy,Animation,"July 17, 2015"
Sex&Drugs&Rock&Roll,FX,: Season 1,60,90,9,Comedy,Drama,"July 16, 2015"
Show Me a Hero,HBO,: Season 1,,90,7.3,Drama,Movie/Mini-Series,"August 16, 2015"
Fear the Walking Dead,AMC,: Season 1,,80,,Drama,Action & Adventure,"August 23, 2015"
Narcos,Netflix,: Season 1,,88,8.9,Drama,,"August 28, 2015"
Hand of God,Amazon Instant Video,: Season 1,44,67,7.2,Drama,,"September 4, 2015"
The Bastard Executioner,FX,: Season 1,55,83,6.1,Drama,Action & Adventure,"September 15, 2015"
The Leftovers,HBO,: Season 2,,90,9,Drama,,"October 4, 2015"
The Affair,SHOWTIME,: Season 2,,91,7.5,Drama,,"October 4, 2015"
Homeland,SHOWTIME,: Season 5,,91,7.6,Drama,Suspense,"October 4, 2015"
The Walking Dead,AMC,: Season 6,,91,6.5,Drama,Action & Adventure,"October 11, 2015"
Fargo,FX,: Season 2,,90,9.2,Comedy,Drama,"October 12, 2015"
Ash Vs. Evil Dead,Starz,: Season 1,,91,8.9,Comedy,Drama,"October 31, 2015"
The Leisure Class,HBO,: Season 1,,,,Drama,Movie/Mini-Series,"November 2, 2015"
Flesh and Bone,Starz,: Season 1,52,83,6.5,Drama,,"November 8, 2015"
Into the Badlands,AMC,: Season 1,54,91,8.2,Drama,Action & Adventure,"November 15, 2015"
The Man in the High Castle,"Amazon Prime,Prime Video,AMAZON",: Season 1,,90,7.3,Drama,,
Marvel's Jessica Jones,Netflix,: Season 1,,91,8.1,Drama,Action & Adventure,"November 20, 2015"
Girls,HBO,: Season 4,,90,6.2,Comedy,Drama,"January 11, 2015"
Looking,HBO,: Season 2,,91,8,Comedy,Drama,"January 11, 2015"
Justified,FX,: Season 6,,90,8.4,Drama,Action & Adventure,"January 20, 2015"
The Americans,FX,: Season 3,,91,8.5,Drama,,"January 28, 2015"
Better Call Saul,AMC,: Season 1,,90,8.6,Comedy,Drama,"February 8, 2015"
Bosch,Amazon Instant Video,: Season 1,,83,8.2,Drama,,"February 13, 2015"
House of Cards (2013),Netflix,: Season 3,,91,7.3,Drama,,"February 27, 2015"
Homeland,SHOWTIME,: Season 4,,80,7.8,Drama,Suspense,"October 5, 2014"
The Walking Dead,AMC,: Season 5,,91,7.1,Drama,Action & Adventure,"October 12, 2014"
The Affair,SHOWTIME,: Season 1,,91,7.4,Drama,,"October 12, 2014"
Olive Kitteridge,HBO,: Season 1,,90,8.2,Drama,Movie/Mini-Series,"November 2, 2014"
The Newsroom,HBO,: Season 3,,91,7.9,Drama,,"November 9, 2014"
Marco Polo (2014),Netflix,: Season 1,48,70,8,Drama,Action & Adventure,"December 12, 2014"
Bloodline,Netflix,: Season 1,,91,8.2,Drama,,"March 20, 2015"
Mad Men,AMC,: Season 7.5,,90,8.8,Drama,,"April 5, 2015"
Game of Thrones,HBO,: Season 5,,90,8.2,Drama,Action & Adventure,"April 12, 2015"
Turn: Washington's Spies,AMC,: Season 2,,80,7.7,Drama,Action & Adventure,"April 13, 2015"
Bessie,HBO,: Season 1,,91,6.4,Drama,Movie/Mini-Series,"May 16, 2015"
Between,Netflix,: Season 1,47,80,,Drama,Science Fiction,"May 21, 2015"
The Normal Heart,HBO,: Season 1,,91,7.9,Drama,Movie/Mini-Series,"May 25, 2014"
Halt and Catch Fire,AMC,: Season 1,,83,8.4,Drama,,"June 1, 2014"
Power,Starz,: Season 1,57,80,7.4,Drama,,"June 7, 2014"
True Blood,HBO,: Season 7,54,70,,Drama,Fantasy,"June 22, 2014"
Tyrant,FX,: Season 1,54,91,7.8,Drama,Action & Adventure,"June 24, 2014"
The Leftovers,HBO,: Season 1,,80,7.5,Drama,,"June 29, 2014"
The Strain,FX,: Season 1,,80,7.5,Drama,Horror,"July 13, 2014"
The Bridge (2013),FX,: Season 2,,83,8.2,Drama,Action & Adventure,"July 9, 2014"
Ray Donovan,SHOWTIME,: Season 2,,90,7.4,Drama,Action & Adventure,"July 13, 2014"
Masters of Sex,SHOWTIME,: Season 2,,90,7.3,Drama,,"July 13, 2014"
The Americans,FX,: Season 2,,91,8.6,Drama,,"February 26, 2014"
Da Vinci's Demons,Starz,: Season 2,,75,7.8,Drama,Fantasy,"March 22, 2014"
Game of Thrones,HBO,: Season 4,,91,9.2,Drama,Action & Adventure,"April 6, 2014"
Turn: Washington's Spies,AMC,: Season 1,,83,8.1,Drama,Action & Adventure,"April 6, 2014"
Nurse Jackie,SHOWTIME,: Season 6,,88,,Drama,,"April 13, 2014"
Mad Men,AMC,: Season 7,,91,8.7,Drama,,"April 13, 2014"
Fargo,FX,: Season 1,,88,9,Comedy,Drama,"April 15, 2014"
Outlander (2014),Starz,: Season 1,,83,8.3,Drama,Action & Adventure,"August 9, 2014"
BoJack Horseman,Netflix,: Season 1,59,80,8.5,Comedy,Animation,"August 22, 2014"
Sons of Anarchy,FX,: Season 7,,75,6.3,Drama,Action & Adventure,"September 9, 2014"
Boardwalk Empire,HBO,: Season 5,,90,8.4,Drama,,"September 7, 2014"
Transparent,"Amazon Instant Video,AMAZON",: Season 1,,91,7.4,Comedy,Drama,
Magic City,Starz,: Season 2,,80,8.1,Drama,Action & Adventure,"June 14, 2013"
True Blood,HBO,: Season 6,58,83,,Drama,Fantasy,"June 16, 2013"
Ray Donovan,SHOWTIME,: Season 1,,90,7.6,Drama,Action & Adventure,"June 30, 2013"
Dexter,SHOWTIME,: Season 8,,88,,Drama,Suspense,"June 30, 2013"
The Bridge (2013),FX,: Season 1,,88,7.8,Drama,Action & Adventure,"July 10, 2013"
Orange is the New Black,Netflix,: Season 1,,90,8.4,Comedy,Drama,"July 11, 2013"
The Newsroom,HBO,: Season 2,,91,7.5,Drama,,"July 14, 2013"
Hell on Wheels,AMC,: Season 3,,75,8.1,Drama,,"August 10, 2013"
Boardwalk Empire,HBO,: Season 4,,91,8.5,Drama,,"September 8, 2013"
Sons of Anarchy,FX,: Season 6,,90,7.2,Drama,Action & Adventure,"September 10, 2013"
Low Winter Sun,AMC,: Season 1,60,91,7.1,Drama,,"August 11, 2013"
Masters of Sex,SHOWTIME,: Season 1,,88,7.9,Drama,,"September 29, 2013"
Homeland,SHOWTIME,: Season 3,,91,7.2,Drama,Suspense,"September 29, 2013"
Muhammad Ali's Greatest Fight,HBO,: Season 1,,80,,Drama,Movie/Mini-Series,"October 5, 2013"
The Walking Dead,AMC,: Season 4,,88,6.9,Drama,Action & Adventure,"October 13, 2013"
Justified,FX,: Season 5,,91,8.4,Drama,Action & Adventure,"January 7, 2014"
Girls,HBO,: Season 3,,83,6.4,Comedy,Drama,"January 12, 2014"
True Detective,HBO,: Season 1,,90,9.2,Drama,Action & Adventure,"January 12, 2014"
Looking,HBO,: Season 1,,83,8,Comedy,Drama,"January 19, 2014"
Black Sails,Starz,: Season 1,58,83,7.2,Drama,Action & Adventure,"January 25, 2014"
House of Cards (2013),Netflix,: Season 2,,90,8.6,Drama,,"February 14, 2014"
Dexter,SHOWTIME,: Season 7,,90,7.6,Drama,Suspense,"September 30, 2012"
Homeland,SHOWTIME,: Season 2,,75,8.3,Drama,Suspense,"September 30, 2012"
The Walking Dead,AMC,: Season 3,,90,7.6,Drama,Action & Adventure,"October 14, 2012"
The Girl,HBO,: Season 1,,90,7.3,Drama,Movie/Mini-Series,"October 20, 2012"
Justified,FX,: Season 4,,90,8.8,Drama,Action & Adventure,"January 8, 2013"
Enlightened,HBO,: Season 2,,90,7.6,Comedy,Drama,"January 13, 2013"
Girls,HBO,: Season 2,,91,6.1,Comedy,Drama,"January 13, 2013"
Spartacus: War of the Damned,Starz,: Season 1,56,88,7.9,Drama,Action & Adventure,"January 25, 2013"
The Americans,FX,: Season 1,,91,8.4,Drama,,"January 30, 2013"
Derek,Netflix,: Season 1,,75,8.5,Comedy,Drama,"January 30, 2013"
House of Cards (2013),Netflix,: Season 1,,90,8.9,Drama,,"February 1, 2013"
Phil Spector,HBO,: Season 1,60,90,,Drama,Movie/Mini-Series,"March 24, 2013"
Game of Thrones,HBO,: Season 3,,90,9.2,Drama,Action & Adventure,"March 31, 2013"
Mad Men,AMC,: Season 6,,88,8.5,Drama,,"April 7, 2013"
Da Vinci's Demons,Starz,: Season 1,,88,7.7,Drama,Fantasy,"April 12, 2013"
Nurse Jackie,SHOWTIME,: Season 5,,80,7.1,Drama,,"April 14, 2013"
The Borgias,SHOWTIME,: Season 3,,83,6.8,Drama,,"April 14, 2013"
Alpha House,Amazon Instant Video,: Season 1,,90,6.8,Comedy,Drama,"April 19, 2013"
Mary and Martha,HBO,: Season 1,,91,,Drama,Movie/Mini-Series,"April 20, 2013"
Game Change,HBO,: Season 1,,91,7.3,Drama,,"March 10, 2012"
The Walking Dead,AMC,: Season 2,,90,7.1,Drama,Action & Adventure,"October 16, 2011"
Boss,Starz,: Season 1,,91,8.2,Drama,,"October 21, 2011"
Hell on Wheels,AMC,: Season 1,,91,8.1,Drama,,"November 6, 2011"
Luck,HBO,: Season 1,,91,7.3,Drama,,"December 11, 2011"
Shameless (US),SHOWTIME,: Season 2,,91,8.4,Comedy,Drama,"January 8, 2012"
Justified,FX,: Season 3,,91,9,Drama,Action & Adventure,"January 17, 2012"
Spartacus: Vengeance,Starz,: Season 1,58,75,7.4,Drama,Suspense,"January 27, 2012"
Lilyhammer,Netflix,: Season 1,,70,8.1,Drama,,"February 6, 2012"
Eastbound & Down,HBO,: Season 3,,91,8.2,Comedy,Drama,"February 19, 2012"
Weeds,SHOWTIME,: Season 8,57,75,6.7,Comedy,Drama,"July 1, 2012"
Breaking Bad,AMC,: Season 5,,67,9.6,Drama,Suspense,"July 15, 2012"
Hell on Wheels,AMC,: Season 2,60,83,8,Drama,,"August 12, 2012"
Boss,Starz,: Season 2,,91,8.5,Drama,,"August 17, 2012"
Parade's End,HBO,: Season 1,,91,7.8,Drama,Movie/Mini-Series,"August 24, 2012"
Sons of Anarchy,FX,: Season 5,,91,7.5,Drama,Action & Adventure,"September 11, 2012"
Boardwalk Empire,HBO,: Season 3,,90,8.6,Drama,,"September 16, 2012"
Mad Men,AMC,: Season 5,,90,8.7,Drama,,"March 25, 2012"
Game of Thrones,HBO,: Season 2,,91,9.1,Drama,Action & Adventure,"April 1, 2012"
Magic City,Starz,: Season 1,56,83,7.4,Drama,Action & Adventure,"April 6, 2012"
Nurse Jackie,SHOWTIME,: Season 4,,91,8.1,Drama,,"April 8, 2012"
The Borgias,SHOWTIME,: Season 2,,88,7.6,Drama,,"April 8, 2012"
Girls,HBO,: Season 1,,83,6.6,Comedy,Drama,"April 15, 2012"
Hemingway and Gellhorn,HBO,: Season 1,54,91,6.2,Drama,Movie/Mini-Series,"May 28, 2012"
True Blood,HBO,: Season 5,,75,6.9,Drama,Fantasy,"June 10, 2012"
The Newsroom,HBO,: Season 1,56,80,8.3,Drama,,"June 24, 2012"
Camelot,Starz,: Season 1,58,80,,Drama,Action & Adventure,"February 25, 2011"
Thurgood,HBO,: Season 1,,90,,Drama,,"February 24, 2011"
Nurse Jackie,SHOWTIME,: Season 3,,80,7.1,Drama,,"March 28, 2011"
Mildred Pierce,HBO,: Season 1,,90,7.2,Drama,,"March 27, 2011"
The Borgias,SHOWTIME,: Season 1,,88,7.7,Drama,,"April 3, 2011"
Game of Thrones,HBO,: Season 1,,91,9.1,Drama,Action & Adventure,"April 17, 2011"
Cinema Verite,HBO,: Season 1,,91,,Drama,Movie/Mini-Series,"April 23, 2011"
Too Big To Fail,HBO,: Season 1,,91,6.9,Drama,,"May 23, 2011"
Bobby Fischer Against The World,HBO,: Season 1,,90,6.8,Sports,Drama,"June 6, 2011"
True Blood,HBO,: Season 4,,88,7.5,Drama,Fantasy,"June 26, 2011"
Weeds,SHOWTIME,: Season 7,,80,6.2,Comedy,Drama,"June 27, 2011"
Citizen U.S.A.: A 50 State Road Trip,HBO,: Season 1,,80,,Drama,Reality,"July 4, 2011"
Breaking Bad,AMC,: Season 4,,80,9.5,Drama,Suspense,"July 17, 2011"
Rescue Me,FX,: Season 7,,88,7.5,Drama,Action & Adventure,"July 13, 2011"
Entourage,HBO,: Season 8,,83,,Comedy,Drama,"July 24, 2011"
Sons of Anarchy,FX,: Season 4,,90,7.8,Drama,Action & Adventure,"September 6, 2011"
Boardwalk Empire,HBO,: Season 2,,91,8.5,Drama,,"September 25, 2011"
Homeland,SHOWTIME,: Season 1,,91,8.3,Drama,Suspense,"October 2, 2011"
Dexter,SHOWTIME,: Season 6,,91,6.5,Drama,Suspense,"October 2, 2011"
Enlightened,HBO,: Season 1,,91,6.9,Comedy,Drama,"October 10, 2011"
Terriers,FX,: Season 1,,80,8.6,Comedy,Drama,"September 8, 2010"
True Blood,HBO,: Season 3,,88,7.6,Drama,Fantasy,"June 13, 2010"
Rubicon,AMC,: Season 1,,88,8,Drama,Suspense,"June 13, 2010"
The Real L Word ,SHOWTIME,: Season 1,59,75,,Drama,Reality,"June 20, 2010"
Entourage,HBO,: Season 7,,75,6.5,Comedy,Drama,"June 27, 2010"
Rescue Me,FX,: Season 6,,88,6.4,Drama,Action & Adventure,"June 29, 2010"
Pillars of the Earth,Starz,: Season 1,,88,7,Drama,Action & Adventure,"July 23, 2010"
Mad Men,AMC,: Season 4,,90,9,Drama,,"July 25, 2010"
Weeds,SHOWTIME,: Season 6,56,,6.8,Comedy,Drama,"August 16, 2010"
Sons of Anarchy,FX,: Season 3,,90,7.9,Drama,Action & Adventure,"September 7, 2010"
In Treatment,HBO,: Season 3,,90,8.3,Drama,,"October 25, 2010"
The Walking Dead,AMC,: Season 1,,83,8.1,Drama,Action & Adventure,"October 31, 2010"
Shameless (US),SHOWTIME,: Season 1,,90,8.6,Comedy,Drama,"January 9, 2011"
Lights Out,FX,: Season 1,,90,8.1,Sports,Drama,"January 11, 2011"
Big Love,HBO,: Season 5,,83,6.2,Drama,,"January 16, 2011"
Spartacus: Gods of the Arena,Starz,: Season 1,55,75,8.6,Drama,Action & Adventure,"January 21, 2011"
Justified,FX,: Season 2,,90,9.3,Drama,Action & Adventure,"February 9, 2011"
The Sunset Limited,HBO,: Season 1,,91,8,Drama,,"February 12, 2011"
Boardwalk Empire,HBO,: Season 1,,90,8.6,Drama,,"September 19, 2010"
Dexter,SHOWTIME,: Season 5,,90,7.2,Drama,Suspense,"September 26, 2010"
Eastbound & Down,HBO,: Season 2,,91,7.9,Comedy,Drama,"September 26, 2010"
Eastbound & Down,HBO,: Season 1,,91,9,Comedy,Drama,"February 15, 2009"
Breaking Bad,AMC,: Season 2,,90,9.2,Drama,Suspense,"March 8, 2009"
The Tudors,SHOWTIME,: Season 3,,83,,Drama,Suspense,"March 22, 2009"
Rescue Me,FX,: Season 5,,80,8.3,Drama,Action & Adventure,"April 7, 2009"
In Treatment,HBO,: Season 2,,90,8.4,Drama,,"April 5, 2009"
Grey Gardens,HBO,: Season 1,,90,8.6,Drama,,"April 18, 2009"
Nurse Jackie,SHOWTIME,: Season 1,,88,7.5,Drama,,"June 8, 2009"
Weeds,SHOWTIME,: Season 5,,80,7.3,Comedy,Drama,"June 8, 2009"
True Blood,HBO,: Season 2,,83,8.2,Drama,Fantasy,"June 14, 2009"
Mad Men,AMC,: Season 3,,90,8.9,Drama,,"August 16, 2009"
Sons of Anarchy,FX,: Season 2,,88,8.4,Drama,Action & Adventure,"September 8, 2009"
Bored to Death,HBO,: Season 1,,83,7.9,Comedy,Drama,"September 20, 2009"
Dexter,SHOWTIME,: Season 4,,91,9,Drama,Suspense,"September 27, 2009"
Nip/Tuck,FX,: Season 6,,83,7.8,Drama,,"October 14, 2009"
The Prisoner,AMC,: Season 1,45,80,,Drama,Action & Adventure,"November 15, 2009"
Big Love,HBO,: Season 4,,88,6.1,Drama,,"January 10, 2010"
How to Make It in America,HBO,: Season 1,59,91,7.9,Comedy,Drama,"February 14, 2010"
Justified,FX,: Season 1,,90,9.1,Drama,Action & Adventure,"March 16, 2010"
The Pacific,HBO,: Season 1,,90,7.7,Drama,Action & Adventure,"March 14, 2010"
Breaking Bad,AMC,: Season 3,,90,9.4,Drama,Suspense,"March 21, 2010"
Nurse Jackie,SHOWTIME,: Season 2,,80,8.2,Drama,,"March 22, 2010"
The Tudors,SHOWTIME,: Season 4,,83,,Drama,Suspense,"April 11, 2010"
Gravity,Starz,: Season 1,57,88,,Drama,,"April 23, 2010"
John Adams,HBO,: Season 1,,91,8.5,Drama,,"March 16, 2008"
The Tudors,SHOWTIME,: Season 2,,80,6.8,Drama,Suspense,"March 30, 2008"
The Riches,FX,: Season 2,,83,7.4,Drama,,"March 18, 2008"
Recount,HBO,: Season 1,,80,6.8,Drama,,"May 25, 2008"
Secret Diary of a Call Girl,SHOWTIME,: Season 1,53,91,,Drama,,"June 16, 2008"
Weeds,SHOWTIME,: Season 4,,80,7.3,Comedy,Drama,"June 16, 2008"
Generation Kill,HBO,: Season 1,,90,8.6,Drama,Action & Adventure,"July 13, 2008"
Mad Men,AMC,: Season 2,,91,8.9,Drama,,"July 27, 2008"
Crash,Starz,: Season 1,43,75,,Drama,,"October 17, 2008"
Brotherhood,SHOWTIME,: Season 3,,91,,Drama,Action & Adventure,"November 2, 2008"
Secret Diary of a Call Girl,SHOWTIME,: Season 2,60,83,6.1,Drama,,"January 18, 2009"
Big Love,HBO,: Season 3,,88,6.6,Drama,,"January 18, 2009"
The Shield,FX,: Season 7,,80,9.5,Drama,Action & Adventure,"September 2, 2008"
Sons of Anarchy,FX,: Season 1,,83,8.5,Drama,Action & Adventure,"September 3, 2008"
True Blood,HBO,: Season 1,,90,8.1,Drama,Fantasy,"September 7, 2008"
Entourage,HBO,: Season 5,,80,8.7,Comedy,Drama,"September 7, 2008"
Californication,SHOWTIME,: Season 2,,80,8.3,Comedy,Drama,"September 28, 2008"
Dexter,SHOWTIME,: Season 3,,90,8.1,Drama,Suspense,"September 28, 2008"
Tell Me You Love Me,HBO,: Season 1,58,83,,Drama,,"September 9, 2007"
Dexter,SHOWTIME,: Season 1,,90,9.2,Drama,Suspense,"October 1, 2006"
Sleeper Cell,SHOWTIME,: Season 2,,88,,Drama,Action & Adventure,"December 10, 2006"
Dirt,FX,: Season 1,40,70,7.3,Drama,,"January 2, 2007"
Rome,HBO,: Season 2,,80,8.9,Drama,,"January 14, 2007"
Life Support,HBO,: Season 1,,90,8.3,Drama,Health & Lifestyle,"March 10, 2007"
Dexter,SHOWTIME,: Season 2,,80,9,Drama,Suspense,"September 30, 2007"
Nip/Tuck,FX,: Season 5,,88,7.9,Drama,,"October 30, 2007"
The Wire,HBO,: Season 5,,90,9.1,Drama,Suspense,"January 6, 2008"
Breaking Bad,AMC,: Season 1,,88,9.2,Drama,Suspense,"January 20, 2008"
In Treatment,HBO,: Season 1,,88,9.2,Drama,,"January 28, 2008"
The Riches,FX,: Season 1,,90,6.6,Drama,,"March 12, 2007"
Addiction,HBO,: Season 1,,80,,Drama,Movie/Mini-Series,"March 15, 2007"
The Tudors,SHOWTIME,: Season 1,,80,6.9,Drama,Suspense,"April 1, 2007"
John from Cincinnati,HBO,: Season 1,50,70,7.4,Drama,,"June 10, 2007"
Big Love,HBO,: Season 2,,90,6.9,Drama,,"June 11, 2007"
Rescue Me,FX,: Season 4,,90,,Drama,Action & Adventure,"June 13, 2007"
Meadowlands,SHOWTIME,: Season 1,,91,8.5,Comedy,Drama,"June 17, 2007"
Mad Men,AMC,: Season 1,,90,8.6,Drama,,"July 19, 2007"
Californication,SHOWTIME,: Season 1,,88,8.5,Comedy,Drama,"August 13, 2007"
Weeds,SHOWTIME,: Season 3,,90,8,Comedy,Drama,"August 13, 2007"
As You Like It,HBO,: Season 1,,88,,Drama,Movie/Mini-Series,"August 21, 2007"
Deadwood,HBO,: Season 2,,90,9.1,Drama,Action & Adventure,"March 6, 2005"
Weeds,SHOWTIME,: Season 1,,90,8.1,Comedy,Drama,"August 7, 2005"
Rescue Me,FX,: Season 2,,88,,Drama,Action & Adventure,"June 21, 2005"
Rome,HBO,: Season 1,,90,9.2,Drama,,"August 28, 2005"
Nip/Tuck,FX,: Season 3,,90,,Drama,,"September 20, 2005"
Masters of Horror,SHOWTIME,: Season 1,,91,7,Drama,Fantasy,"October 28, 2005"
Sleeper Cell,SHOWTIME,: Season 1,,80,7.8,Drama,Action & Adventure,"December 4, 2005"
Big Love,HBO,: Season 1,,90,6.8,Drama,,"March 12, 2006"
The Sopranos,HBO,: Season 6,,90,8.9,Drama,Suspense,"March 12, 2006"
Thief,FX,: Season 1,,90,8.3,Drama,Action & Adventure,"March 28, 2006"
Huff,SHOWTIME,: Season 2,53,88,8,Drama,,"April 2, 2006"
Rescue Me,FX,: Season 3,,90,,Drama,Action & Adventure,"May 30, 2006"
Entourage,HBO,: Season 3,,91,8.6,Comedy,Drama,"June 11, 2006"
Deadwood,HBO,: Season 3,,83,9.2,Drama,Action & Adventure,"June 11, 2006"
Broken Trail,AMC,: Season 1,,91,8.5,Drama,Action & Adventure,"June 24, 2006"
Brotherhood,SHOWTIME,: Season 1,,91,8,Drama,Action & Adventure,"July 9, 2006"
Weeds,SHOWTIME,: Season 2,,90,8.1,Comedy,Drama,"August 14, 2006"
Nip/Tuck,FX,: Season 4,,75,,Drama,,"September 5, 2006"
The Wire,HBO,: Season 4,,88,9.5,Drama,Suspense,"September 10, 2006"
The Sopranos,HBO,: Season 1,,90,9.4,Drama,Suspense,"January 10, 1999"
Beggars and Choosers,SHOWTIME,: Season 1,57,90,,Comedy,Drama,"June 19, 1999"
The Sopranos,HBO,: Season 2,,,9.3,Drama,Suspense,"January 16, 2000"
The Corner,HBO,: Season 1,,90,8.1,Drama,Movie/Mini-Series,"April 16, 2000"
Queer as Folk,SHOWTIME,: Season 1,,90,8.9,Drama,Health & Lifestyle,"December 3, 2000"
The Sopranos,HBO,: Season 3,,75,9.4,Drama,Suspense,"March 4, 2001"
Six Feet Under,HBO,: Season 1,,83,8.4,Comedy,Drama,"June 3, 2001"
Band of Brothers,HBO,: Season 1,,90,9.3,Drama,Action & Adventure,"September 9, 2001"
The Wire,HBO,: Season 1,,90,9.3,Drama,Suspense,"June 2, 2002"
The Shield,FX,: Season 1,,90,9.3,Drama,Action & Adventure,"March 12, 2002"
Nip/Tuck,FX,: Season 1,,90,7.4,Drama,,"July 22, 2003"
The Wire,HBO,: Season 2,,90,9.1,Drama,Suspense,"June 1, 2003"
Carnivale,HBO,: Season 1,,80,8.4,Drama,Fantasy,"September 14, 2003"
The L Word,SHOWTIME,: Season 1,,90,6.5,Drama,,"January 18, 2004"
Deadwood,HBO,: Season 1,,90,9.2,Drama,Action & Adventure,"March 21, 2004"
Nip/Tuck,FX,: Season 2,,90,8,Drama,,"June 22, 2004"
Entourage,HBO,: Season 1,,91,8.4,Comedy,Drama,"July 18, 2004"
Rescue Me,FX,: Season 1,,90,8.6,Drama,Action & Adventure,"July 21, 2004"
The Wire,HBO,: Season 3,,88,9.4,Drama,Suspense,"September 19, 2004"
Huff,SHOWTIME,: Season 1,,90,,Drama,,"November 7, 2004"
Carnivale,HBO,: Season 2,57,75,,Drama,Fantasy,"January 9, 2005"
Unscripted,HBO,: Season 1,60,70,,Comedy,Drama,"January 9, 2005"
Medical Police,Netflix,: Season 1,,,,Action & Adventure,,"January 10, 2020"
And the Band Played On,HBO,: Season 1,,80,,Drama,,"January 1, 1993"
Oz,HBO,: Season 1,,83,7.7,Drama,Suspense,"July 12, 1997"
Sex and the City,HBO,: Season 1,52,83,8.2,Comedy,Drama,"June 6, 1998"
From the Earth to the Moon,HBO,: Season 1,,88,6.5,Drama,Movie/Mini-Series,"April 5, 1998"
Disenchantment,Netflix,: Season 1,56,80,6.8,Comedy,Animation,"August 17, 2018"
The Tick (2017),"Amazon Prime,Prime Video",: Season 1,,91,7.4,Comedy,Action & Adventure,
Pacific Heat,Netflix,: Season 1,,,,Comedy,Animation,"December 2, 2016"
Neo Yokio,Netflix,: Season 1,,75,,Comedy,Animation,"September 22, 2017"
Big Mouth,Netflix,: Season 1,,91,6.6,Comedy,Animation,"September 29, 2017"
Our Cartoon President,SHOWTIME,: Season 1,42,67,,Comedy,Animation,"February 11, 2018"
Big Mouth,Netflix,: Season 2,,91,6.9,Comedy,Animation,"October 5, 2018"
"Love, Death & Robots",Netflix,: Season 1,,80,8.7,Comedy,Animation,"March 15, 2019"
Rocko’s Modern Life: Static Cling,Netflix,: Season 1,,91,,Comedy,Animation,"August 9, 2019"
Tuca & Bertie,Netflix,: Season 1,,91,7.2,Comedy,Animation,"May 3, 2019"
Big Mouth,Netflix,: Season 3,,91,6.6,Comedy,Animation,"October 4, 2019"
Living with Yourself,Netflix,: Season 1,,88,6.2,Comedy,,"October 18, 2019"
Jenny Slate: Stage Fright,Netflix,: Season 1,,80,,Comedy,,"October 22, 2019"
Daybreak (2019),Netflix,: Season 1,54,83,,Comedy,Horror,"October 24, 2019"
Back to Life,SHOWTIME,: Season 1,,80,7.4,Comedy,,"November 10, 2019"
Silicon Valley,HBO,: Season 6,,90,,Comedy,,"October 27, 2019"
Dollface,HULU,: Season 1,54,79,,Comedy,,"November 15, 2019"
Work in Progress,SHOWTIME,: Season 1,,91,,Comedy,,"December 8, 2019"
The Life & Times of Tim,HBO,: Season 1,57,80,8.2,Comedy,Animation,"September 28, 2008"
The Ricky Gervais Show,HBO,: Season 1,,80,8.7,Comedy,Animation,"February 19, 2010"
Unsupervised,FX,: Season 1,46,67,6.3,Comedy,Animation,"January 19, 2012"
The Awesomes,HULU,: Season 1,60,75,6.7,Comedy,Animation,"August 1, 2013"
Chozen,FX,: Season 1,44,70,7.2,Comedy,Animation,"January 13, 2014"
F is for Family,Netflix,: Season 1,,90,7.9,Comedy,Animation,"December 18, 2015"
Animals,HBO,: Season 1,54,83,6.8,Comedy,Animation,"February 5, 2016"
Fleabag,"Amazon Prime,Prime Video,Amazon Prime Video",: Season 2,,95,8.7,Comedy,,
Camping,HBO,: Season 1,50,80,,Comedy,,"October 14, 2018"
Patriot Act with Hasan Minhaj,Netflix,: Season 1,,83,6.8,Comedy,,"October 28, 2018"
The Kominsky Method,Netflix,: Season 1,,83,7.7,Comedy,,"November 16, 2018"
Sally4Ever,HBO,: Season 1,,90,,Comedy,,"November 11, 2018"
SMILF,SHOWTIME,: Season 2,,80,,Comedy,,"January 20, 2019"
Black Monday,SHOWTIME,: Season 1,56,80,7.1,Comedy,,"January 20, 2019"
Russian Doll,Netflix,: Season 1,,90,7.8,Comedy,,"February 1, 2019"
PEN15,HULU,: Season 1,,90,6.8,Comedy,,"February 8, 2019"
One Day at a Time (2017),Netflix,: Season 3,,95,8.1,Comedy,,"February 8, 2019"
Better Things,FX,: Season 3,,90,8.2,Comedy,,"February 28, 2019"
After Life,Netflix,: Season 1,57,91,8,Comedy,,"March 8, 2019"
